frame,track_id,x_center,y_center,width,height
365,0.11117,0.660267,0.0389481,0.177432,44.0
155,0.11135,0.225932,0.0220003,0.0776858,27.0
367,0.111407,0.473794,0.0329507,0.138389,43.0
347,0.111516,0.645083,0.0464537,0.167355,44.0
370,0.111706,0.475999,0.0339465,0.144439,43.0
251,0.111811,0.325084,0.028961,0.103909,14.0
244,0.111854,0.316512,0.0406164,0.103427,14.0
101,0.112288,0.321158,0.0247596,0.108741,3.0
370,0.112328,0.399518,0.0338573,0.0991476,37.0
90,0.112469,0.607443,0.0346804,0.136183,10.0
360,0.112543,0.476029,0.0317861,0.145932,43.0
369,0.112572,0.478403,0.0320996,0.141228,43.0
368,0.112702,0.476956,0.0306611,0.135037,43.0
330,0.112746,0.535363,0.0487011,0.137778,45.0
366,0.112813,0.658251,0.0336677,0.178172,44.0
214,0.1129,0.448765,0.0361626,0.119103,20.0
246,0.112941,0.319171,0.0270923,0.103963,14.0
245,0.113094,0.318683,0.0327399,0.103768,14.0
365,0.113117,0.479412,0.028566,0.134942,43.0
252,0.113153,0.328156,0.0235466,0.104285,14.0
243,0.113285,0.312299,0.0470917,0.102646,14.0
299,0.113309,0.620555,0.0311696,0.159107,44.0
96,0.113412,0.304519,0.0192361,0.0950111,8.0
165,0.113527,0.404903,0.0271845,0.117259,11.0
250,0.113614,0.321543,0.0295668,0.104328,14.0
154,0.113763,0.225353,0.0235723,0.0765417,27.0
366,0.113785,0.47722,0.0284096,0.137056,43.0
255,0.113803,0.333069,0.0346848,0.103955,14.0
254,0.113839,0.331478,0.0296234,0.104895,14.0
256,0.113983,0.332414,0.0383596,0.0986758,14.0
253,0.114066,0.330496,0.024508,0.105633,14.0
338,0.114203,0.356133,0.041351,0.124475,46.0
359,0.114331,0.472787,0.0312992,0.150938,43.0
346,0.114423,0.642826,0.0480405,0.163983,44.0
257,0.114436,0.33608,0.0422648,0.10243,14.0
164,0.114753,0.404539,0.0356733,0.115841,11.0
318,0.11481,0.544424,0.0355414,0.143867,45.0
242,0.114884,0.309119,0.0462716,0.101296,14.0
62,0.114908,0.450116,0.0218183,0.121759,6.0
163,0.115117,0.406774,0.0419167,0.115508,11.0
371,0.115204,0.389155,0.0348193,0.0979576,37.0
258,0.115268,0.338614,0.0428206,0.104387,14.0
204,0.115384,0.343441,0.0238799,0.093133,19.0
367,0.115441,0.654546,0.0302144,0.177562,44.0
294,0.11576,0.50169,0.0564454,0.121121,43.0
153,0.116703,0.225343,0.0262603,0.0761716,27.0
101,0.116753,0.723199,0.0418312,0.165712,15.0
117,0.116891,0.422771,0.0203871,0.117923,9.0
358,0.116897,0.467289,0.0313476,0.153963,43.0
241,0.117193,0.306854,0.0389553,0.100044,14.0
345,0.117591,0.64267,0.0429545,0.166323,44.0
200,0.118124,0.587644,0.0380993,0.138003,2.0
329,0.118197,0.535525,0.0513758,0.143996,45.0
162,0.118518,0.408209,0.038245,0.117437,11.0
209,0.118519,0.418959,0.0524459,0.105835,23.0
368,0.118519,0.657297,0.0307199,0.179529,44.0
357,0.118716,0.459848,0.0320657,0.157029,43.0
199,0.118836,0.397338,0.0299696,0.10829,5.0
319,0.118877,0.545508,0.0375546,0.141348,45.0
118,0.119206,0.209422,0.0229758,0.0797525,12.0
240,0.119667,0.307021,0.0349984,0.100892,14.0
259,0.119733,0.341609,0.0336469,0.107525,14.0
152,0.119833,0.225484,0.0281893,0.0766375,27.0
344,0.119912,0.638403,0.037056,0.174096,44.0
356,0.119986,0.461454,0.0317128,0.153006,43.0
89,0.120028,0.60608,0.0316185,0.132102,10.0
369,0.12033,0.662439,0.0317928,0.179429,44.0
370,0.120608,0.661382,0.0334126,0.177906,44.0
300,0.121033,0.620719,0.029687,0.161166,44.0
61,0.121124,0.44918,0.0229693,0.118746,6.0
343,0.121424,0.634096,0.0330548,0.175364,44.0
355,0.12177,0.46558,0.0295096,0.150495,43.0
328,0.121884,0.535833,0.0482092,0.146442,45.0
295,0.122024,0.504384,0.055883,0.122985,43.0
161,0.122171,0.409027,0.034683,0.11393,11.0
239,0.122986,0.307833,0.0306424,0.0995921,14.0
371,0.122995,0.658534,0.0379712,0.179087,44.0
213,0.12309,0.446086,0.0379523,0.114523,20.0
320,0.123475,0.541764,0.0421766,0.144817,45.0
100,0.123621,0.321179,0.0239232,0.106683,3.0
337,0.123671,0.355759,0.0392905,0.12454,46.0
260,0.12368,0.344124,0.0262308,0.108277,14.0
